"Hash","Action","KeepPath","File","SizeBytes","LastWrite","QuarantineDest"
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","558","8/16/2025 4:26:16 PM",""
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Kiev","558","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Europe_Kiev"
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Uzhgorod","558","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Europe_Uzhgorod"
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Kyiv","558","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Europe_Kyiv"
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","191","8/16/2025 4:26:16 PM",""
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Africa\Djibouti","191","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Africa_Djibouti"
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Africa\Kampala","191","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Africa_Kampala"
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Africa\Asmera","191","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Africa_Asmera"
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Comoro","191","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Indian_Comoro"
"0783854F52C33ADA6B6D2A5D867662F0AE8E15238D2FCE7B9ADA4F4D319EB466","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mayotte","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Africa\Addis_Ababa","191","8/16/2025 4:26:15 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Africa_Addis_Ababa"
